Feinstaubmesssystem Messdaten ;;;;;;;;;;;;;;;;;;;;;;
PM1.0; PM2.5; PM10; Temperature; Humidity; Pressure; Acc-X; Acc-Y; Acc-Z; CO2; Time; Date; Fix; Quality; Voltage; Current; Power; Location; Location; Speed (knots); Angle; Altidude; Satellites 
129;10;0;13.3;47.11;993.33;314.5;17.75;-64.37;36.24; 13:57:36:0; 26:12:21;1;1;5.16;154.72;792.8; 4900.79N; 823.73E;7.79;56.07;105.2;8
151;7;0;13.23;47.35;993.5;0;0;0; nan; 13:58:1:337; 26:12:21;1;1;5.17;168.12;799.2; 4900.82N; 823.73E;1.62;298.47;103.8;5
151;7;0;13.26;47.36;993.51;14.31;3;-9.75; nan; 13:58:9:0; 26:12:21;1;1;5.16;150.8;773.6; 4900.82N; 823.73E;0.67;306.8;102.9;8
181;8;0;13.23;47.26;993.51;350.87;4.87;-8.56; nan; 13:58:16:0; 26:12:21;1;1;5.16;175.12;897.6; 4900.82N; 823.73E;0.32;339.07;103.6;8
160;9;0;13.22;47.42;993.47;221.13;22.62;13.94; nan; 13:58:23:0; 26:12:21;1;1;5.05;237;1212.8; 4900.83N; 823.73E;0.43;351.39;103.8;8
0;0;0;13.36;47.46;993.19;282.44;19.62;-40.06; nan; 13:58:35:827; 26:12:21;0;0;5.14;199.12;938.4;;;;;;
0;0;0;13.41;47.88;993.02;218.37;5.81;17.44; nan; 13:58:42:827; 26:12:21;0;0;4.94;185.8;924;;;;;;
184;10;0;13.45;47.71;993;322.37;7.75;-8.13; nan; 13:58:49:827; 26:12:21;0;0;5.12;141.4;723.2;;;;;;
219;9;1;13.48;47.69;993.03;267.44;6.56;-17.62; nan; 13:58:56:827; 26:12:21;0;0;5.1;149.32;761.6;;;;;;
197;5;0;13.54;48.05;993.03;311.69;19.44;-9.88;106.75; 13:59:4:468; 26:12:21;0;0;5.08;172.2;950.4;;;;;;
144;8;1;13.59;48.48;993.02;81.69;25;2.37;360.48; 13:59:10:468; 26:12:21;0;0;5.06;141.52;804.8;;;;;;
0;0;0;13.62;48.63;993.07;33.06;16.87;2.81; nan; 13:59:26:520; 26:12:21;0;0;5.12;173.72;888.8;;;;;;
0;0;0;13.66;48.71;993.05;12.06;15.25;4.5; nan; 13:59:33:520; 26:12:21;0;0;5.13;154.6;794.4;;;;;;
123;6;0;13.84;55.28;993.01;147.06;16.94;8.69;383.55; 13:59:40:520; 26:12:21;0;0;5.12;185.52;948.8;;;;;;
